,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
10,0.07042468683,0.08858570331,0.08637811505,0.07472848112,0.06982732505,0.06347239433,0.06128689178,0.05613052478,0.03239179314,0.04209661218,0.03232139101,0.03512113363,0.02551613439,0.0285007728,0.01647487671,0.0384647476,0.01990758734,0.01469884896,0.01421698637,0.01498163856,0.0138546613,0.01249559537,0.01175300836,0.009654045904,0.01331908009,0.01135971613,0.01171805496,0.009252940468,0.01076775746,0.01208990061,0.009046665882,0.0196053415,0.01038358448,0.01418199717,0.01067401422,0.007874822774,0.01066882666,0.008021157761,0.01045019722,0.007290035897,0.008004444985,0.01141682558,0.008010425717,0.01064812676,0.007275309714,0.01026314618,0.007276228357,0.01553025199,0.006391060833,0.006315587583,0.01051455159,0.006799209463,0.00787280552,0.006133581692,0.006331547864,0.007146178887,0.007403838433,0.006590044887,0.007033013974,0.007265563436,0.005968101082,0.006631089887,0.006816803939,0.01150457937
20,0.3352855051,0.4795923116,0.5147352647,0.4913225899,0.298834242,0.3006652273,0.2834548205,0.2378973613,0.2349199836,0.2464957183,0.2278455824,0.1681543005,0.1460148778,0.14732162,0.1428789307,0.2002681903,0.08814321883,0.09477256424,0.08265556572,0.08441877611,0.07992523249,0.09650954794,0.08160178645,0.07672891351,0.0772929105,0.09315591072,0.07452917522,0.07150737973,0.08383228662,0.08135183782,0.06295667261,0.1119658398,0.07269995132,0.06040976639,0.06109707944,0.0582456775,0.05134477982,0.05761425009,0.05357699906,0.05173971984,0.05450275819,0.05434352703,0.05528314843,0.05397633527,0.04736471983,0.05103304148,0.05638264695,0.07825314379,0.04754720115,0.04183021924,0.04599091339,0.04365600508,0.03989886866,0.04324907353,0.03949229124,0.04239257873,0.03795007016,0.03918817167,0.03841952405,0.03688009763,0.03639850803,0.03695164194,0.04074185361,0.05265928091
30,0.3793633923,0.5624183616,0.7151406501,0.6697116334,0.6857532896,0.7485719016,0.6689931562,0.7118657412,0.5274917598,0.4843625845,0.4543984991,0.3647879937,0.4535551561,0.4098945269,0.3327282094,0.4497090469,0.2556933866,0.2730704571,0.2902154202,0.2467132638,0.2185210397,0.2222040188,0.2517856397,0.2122277815,0.2352522852,0.1976803926,0.2320504376,0.2044413963,0.2184260217,0.1997878828,0.2151269301,0.2416656273,0.1751850273,0.1630016435,0.1555282893,0.1674496126,0.1553452546,0.1466159318,0.1546213697,0.1462842475,0.1335078921,0.1288744038,0.1366088021,0.1327012827,0.1367620479,0.1322358367,0.122395663,0.1979147666,0.1184686337,0.1278171752,0.1208950135,0.1178994035,0.1091345796,0.1151433987,0.1128418671,0.1224998532,0.1351444934,0.127379921,0.1278268122,0.1283539362,0.121387322,0.1214446569,0.1217709444,0.1494125618
40,0.5180955253,0.904397412,1.013487026,1.137529138,0.9599422675,1.051663787,1.047197003,1.02756683,1.008363085,1.058724606,1.062851988,0.7895495168,0.6316716643,0.563857135,0.5740936682,0.7744540593,0.5683471334,0.5697941136,0.5447669753,0.5481870451,0.5447777708,0.5401005255,0.5131600234,0.5192780529,0.4893740116,0.4512868779,0.4518171957,0.423073273,0.4048778572,0.3876319865,0.3901792832,0.4400900757,0.3904138608,0.3638449186,0.3676935115,0.3509857537,0.3374882351,0.353946448,0.3427671322,0.3415279558,0.3287616625,0.3238367858,0.298200068,0.3003968406,0.2953254696,0.2877122598,0.2835117199,0.3492955599,0.2714153604,0.26117868,0.265425662,0.2545911422,0.2531901275,0.2438986161,0.2469384211,0.2447396496,0.2418381246,0.2418359971,0.2314909288,0.2262603206,0.2232659879,0.2102622414,0.2135634214,0.2550963122
50,0.3155871727,0.8438877332,1.109969716,1.349826291,1.291998661,1.318127244,1.495553986,1.495610061,1.201601566,1.233316843,1.257070975,1.268702407,1.159551944,1.215388951,1.036010493,0.9513276095,0.8419802816,0.8555592494,0.824909094,0.8316957266,0.7644104472,0.8213929034,0.7857934352,0.7849764427,0.7130206293,0.719027097,0.6509187137,0.639640699,0.6365123268,0.57492235,0.5627082221,0.6800197754,0.5313260006,0.5748533053,0.5550479247,0.5460523089,0.5193169366,0.5030408185,0.4972977803,0.4898759115,0.4638288677,0.4741151755,0.4614878831,0.4493507615,0.4289073154,0.4260115628,0.4376047341,0.5157942943,0.4112175707,0.3974971143,0.3978737729,0.3948673107,0.3859118434,0.3819539201,0.3735444938,0.3851888928,0.3547929701,0.3668829626,0.3494556342,0.3440184331,0.3241155161,0.3270772277,0.3232293357,0.4140339223
60,0.3618909072,0.8680508749,1.280171857,1.518900349,1.633718574,1.80380469,1.730248072,1.747989442,1.678222096,1.612711757,1.620294465,1.61285981,1.555551657,1.612264969,1.515256995,1.235875076,1.056823083,1.121356563,1.110674671,1.102441363,1.05204566,0.9950330259,1.025671162,0.991066772,1.008258744,0.9664560004,0.9466986187,0.8898816464,0.8620667946,0.8399504942,0.8174523535,1.019337274,0.8063873033,0.7847027573,0.8103171447,0.766982614,0.7553513991,0.7129109563,0.7306878,0.7430766481,0.7126632347,0.6959785511,0.6617903029,0.6531892267,0.6487086203,0.6595893138,0.615098884,0.7303078384,0.5994473769,0.5825381145,0.5806205205,0.582565085,0.5244534438,0.5556156906,0.5719943411,0.5640382764,0.537752205,0.5397337423,0.5188367681,0.5129963467,0.4938806793,0.5168599388,0.4801926891,0.5729999865
70,0.3846418658,0.6283109509,1.374165832,1.694043498,1.872189404,2.099995383,2.118674532,2.09135677,1.787321201,1.825323553,1.919316176,1.969369554,1.923725561,1.901735407,1.892337183,1.469019243,1.473112198,1.45691669,1.383165827,1.418186851,1.394011158,1.346856321,1.312922742,1.434112504,1.222982762,0.9752444128,0.9621138874,0.999689607,0.9650505193,0.9709101511,0.8934627853,1.180132392,0.8189308128,0.7926614973,1.01120855,1.00577534,0.9551614526,0.9921988231,0.9246288812,0.9471451021,0.8977801486,0.8912044128,0.8878438863,0.8680496141,0.8239389698,0.8115149252,0.8078174005,0.8922111339,0.7795225461,0.7741901468,0.7654416358,0.7557613286,0.664496811,0.7308287555,0.7540978436,0.7227885217,0.6993345664,0.7082047477,0.7060374062,0.6871464635,0.6680140638,0.6556000638,0.6570264167,0.7164705412
80,0.3934697533,0.6153555842,0.9223127553,1.686646223,1.897912478,2.119961372,2.222480948,2.337503029,1.846489079,1.931468159,2.04859784,2.086406812,2.067312541,2.10969642,2.122941491,1.578490052,1.711238169,1.623874136,1.620163223,1.581833058,1.550602389,1.496331588,1.574348293,1.485595669,1.439227597,1.521221659,1.417665375,1.406672282,1.301307301,1.337196168,1.298973837,1.435495832,1.198325518,1.195138723,1.214699509,1.191782202,1.105948829,1.129035877,1.106260204,1.113239351,1.038202916,1.066970827,1.043547664,1.038100101,0.9764726966,0.9733528853,0.974646827,1.118194469,0.9088717908,0.929015453,0.9202171624,0.916938898,0.8700721718,0.8716397967,0.8823725074,0.8722250326,0.8443333201,0.8389597766,0.8374198881,0.8151681289,0.7621961099,0.7549960972,0.7927286943,0.8622827746
90,0.4077550178,0.6805431783,0.9397459926,1.670487237,1.373621347,2.306417039,2.566212263,2.443395092,1.979449096,2.051785209,2.157215372,2.230819735,2.234251287,2.228300214,2.270760773,1.635512515,2.104821931,1.970055878,1.902089016,1.764868737,1.647177413,1.749945462,1.644357163,1.782812044,1.612159865,1.582041164,1.558656381,1.531562876,1.416717943,1.459618307,1.41179044,1.600642434,1.389727502,1.382908406,1.374865204,1.377979334,1.366752031,1.33698589,1.30389695,1.332205058,1.252449897,1.249384675,1.231414462,1.254721799,1.181760816,1.186262197,1.122632167,1.3352108,1.09715847,1.103432038,1.08718257,1.084976843,1.04206851,1.049635196,1.065893304,1.044151419,1.001166843,0.9945846783,0.9888238241,0.9776073085,0.9370801626,0.925755471,0.9121222354,1.046493557
100,0.4223927095,0.7281288508,0.957225098,1.279716218,1.408647656,1.687859563,2.618123559,2.815044221,2.089760372,2.241251931,2.348867158,2.439129763,2.37373047,2.448546511,2.434600956,1.877842216,2.404718834,2.310907881,2.36899499,2.068810286,1.899341183,1.982835819,1.966698915,1.85491981,1.77375109,1.798711109,1.738139107,1.758678187,1.623007355,1.665212613,1.571354887,1.780682471,1.548688763,1.570111587,1.561815791,1.515493384,1.502726197,1.567404291,1.581918571,1.543408902,1.490622843,1.495127457,1.456962479,1.430334522,1.435042571,1.472445916,1.307783317,1.50121344,1.276398733,1.289052461,1.287827763,1.290250612,1.25837481,1.227989299,1.239631612,1.217109595,1.19577472,1.187647873,1.180106061,1.176807206,1.107166348,1.081493889,1.105474955,1.305265947
